# filename   modelflag	mass		rate		   angle

Templates/k6_01_01.dat     1       6.0             0.1               0.1
Templates/k6_01_025.dat    1       6.0             0.1               0.25
Templates/k6_01_05.dat     1       6.0             0.1               0.5
Templates/k6_01_075.dat    1       6.0             0.1               0.75
Templates/k6_01_1.dat      1       6.0             0.1               1.0

Templates/k6_03_01.dat     1       6.0             0.3               0.1
Templates/k6_03_025.dat    1       6.0             0.3               0.25
Templates/k6_03_05.dat     1       6.0             0.3               0.5
Templates/k6_03_075.dat    1       6.0             0.3               0.75
Templates/k6_03_1.dat      1       6.0             0.3               1.0

Templates/k6_08_01.dat     1       6.0             0.8               0.1
Templates/k6_08_025.dat    1       6.0             0.8               0.25
Templates/k6_08_05.dat     1       6.0             0.8               0.5
Templates/k6_08_075.dat    1       6.0             0.8               0.75
Templates/k6_08_1.dat      1       6.0             0.8               1.0

Templates/k6_1_01.dat      1       6.0             1.0               0.1
Templates/k6_1_025.dat     1       6.0             1.0               0.25
Templates/k6_1_05.dat      1       6.0             1.0               0.5
Templates/k6_1_075.dat     1       6.0             1.0               0.75
Templates/k6_1_1.dat       1       6.0             1.0               1.0

Templates/k7_01_01.dat     1       7.0             0.1               0.1
Templates/k7_01_025.dat    1       7.0             0.1               0.25
Templates/k7_01_05.dat     1       7.0             0.1               0.5
Templates/k7_01_075.dat    1       7.0             0.1               0.75
Templates/k7_01_1.dat      1       7.0             0.1               1.0

Templates/k7_03_01.dat     1       7.0             0.3               0.1
Templates/k7_03_025.dat    1       7.0             0.3               0.25
Templates/k7_03_05.dat     1       7.0             0.3               0.5
Templates/k7_03_075.dat    1       7.0             0.3               0.75
Templates/k7_03_1.dat      1       7.0             0.3               1.0

Templates/k7_08_01.dat     1       7.0             0.8               0.1
Templates/k7_08_025.dat    1       7.0             0.8               0.25
Templates/k7_08_05.dat     1       7.0             0.8               0.5
Templates/k7_08_075.dat    1       7.0             0.8               0.75
Templates/k7_08_1.dat      1       7.0             0.8               1.0

Templates/k7_1_01.dat      1       7.0             1.0               0.1
